标题,室数,厅数,卫数,面积,朝向,楼层数,建造时间,小区,行政区,街道,门牌号,单价,总价
世茂5期，急售，老证，中高层，精装，视野好，江景房,3,1,1,90.39㎡,南,高层(共57层),2006年建造,世茂锦绣长江5期,汉阳,钟家村,滨江大道193号,22016元/㎡,199万
广益天下(南区) 满二 87平 南北通透 2室2厅 楼层好,2,2,1,87.09㎡,南北,中层(共25层),2012年建造,广益天下(南区),江汉,前进/江汉,民权路146号,20669元/㎡,180万
汉阳中心片区 精装入住 交房又保障,3,2,2,110㎡,南,,,王家湾中央生活区湾玺,汉阳,升官渡,汉阳大道与玉龙路交汇处,19000元/㎡,209万
新上必看好房！老证自住30W婚装 采光无遮挡 诚心置换可议价,3,2,2,120.27㎡,南北,低层(共40层),2018年建造,钰龙旭辉半岛一期,汉阳,七里庙,麒麟路1号,15632元/㎡,188万
地铁三号线精装3室2厅1卫150万元急售,3,2,1,92㎡,南,低层(共33层),2017年建造,绿地悦澜湾,汉阳,四新,四新北路601号,16305元/㎡,150万
正南 2室2厅 精装修,2,2,1,93.59㎡,南,高层(共22层),2005年建造,新华家园,江汉,杨汊湖,姑嫂树路11号,15600元/㎡,146万
七里庙地铁口南北通通 户型明厨明卫准现房,3,2,2,106㎡,南,,,尚城国际,汉阳,五里墩,七里庙地铁站b出口，汉阳大道580号,16510元/㎡,175万
出门地铁口  老证 不临街 无遮挡 精装两房  中高楼层,2,2,1,82.93㎡,南,中层(共32层),2011年建造,幸福时代(一二期),江岸,百步亭,后湖大道335号,16762元/㎡,139万
正南 3室2厅 精装修,3,2,1,93.92㎡,南,高层(共33层),2019年建造,理公馆,洪山,街道口,雄楚大道225号,25022元/㎡,235万
四新地铁口国企毛坯准现房 新房团购价,3,2,2,105㎡,南北,,,海格公馆(新房),汉阳,四新,四新中路与四新南路交汇处,17143元/㎡,180万
正南 2室1厅 企业力荐好房诚意出售,2,1,1,62.36㎡,南,高层(共33层),2016年建造,八大家花园43街坊,青山,建设二路,吉林街22号,16517元/㎡,103万
电梯房 93平 2室2厅 满二 精装修 居家自住 保养好,2,2,1,93.31㎡,南北,高层(共29层),2010年建造,外滩棕榈泉,江岸,三阳路,沿江大道229号,36653元/㎡,342万
旭辉大盘 老汉阳政务中心旁 墨水湖一线湖景,3,2,2,115㎡,南北,,,钰龙旭辉半岛·和岸,汉阳,七里庙,麒麟路与百灵路交汇处,19044元/㎡,219万
满二唯一 正南 2室2厅 精装修,2,2,1,83.35㎡,南,共5层,2014年建造,恒大龙城(一期),黄陂,盘龙城,航城东路19号,8399元/㎡,70万
南北通透 4室2厅 企业力荐好房诚意出售,4,2,2,133.53㎡,南北,高层(共33层),2000年建造,绿地国际理想城(三期),洪山,光谷东,光谷四路,17075元/㎡,228万
新房首发 多面积 多价格 多楼层 多户型随便选 免费看房,3,2,2,108.35㎡,南北,,,方岛金茂智慧科学城(新房),汉阳,升官渡,芳草路与四新大道交叉口,19013元/㎡,206万
正南 3室2厅 精装修,3,2,1,91.16㎡,南,中层(共34层),2019年建造,华发未来荟(一期),汉阳,四新,江城大道,21940元/㎡,200万
新上好房 房东急售价格美丽 随时可看,2,2,1,90.14㎡,南,中层(共27层),2016年建造,南国明珠(四期),汉阳,王家湾,龙阳大道95号,16530元/㎡,149万
汉阳三环内双地铁单价14500精装交付准现房,3,2,2,98㎡,南,,,禹洲新希望雍禧兰台(新房),汉阳,四新,四新南路与新华园二路交汇处,15000元/㎡,147万
东方城 精装修三房 可看江 证满 业主诚心出售 急需换置,3,2,2,96.95㎡,南北,中层(共29层),2019年建造,百隆东方城,黄陂,武湖,汉施公路,8562元/㎡,83万
正南 3室2厅 精装修,3,2,2,111.71㎡,南,低层(共48层),2021年建造,东原启城(三四期),洪山,白沙洲,烽胜路,15218元/㎡,170万
水墨兰轩 地铁口 电梯洋房 老证中层 公摊小,2,2,1,88.58㎡,南,中层(共15层),2010年建造,中大水墨兰轩,汉阳,王家湾,芳草路66号,16370元/㎡,145万
汉口二环一号线轻轨口千禧城旁国企现房单价1.3送车位20上车,2,2,1,86㎡,南北,,,武汉城建汉樾台,硚口,古田,古田四路与长安路交叉口西侧（湖北警官学院北区旁）,16861元/㎡,145万
唐樾 精装3房  后期税费少,3,2,1,90㎡,北,高层(共34层),2017年建造,万科汉口传奇唐樾,江汉,汉口火车站,新华路758号,24445元/㎡,220万
新房没有住过 性价比历史之最 高端物业闹中取静,3,2,2,112.48㎡,南北,中层(共32层),2021年建造,江山如画(8期),硚口,汉正街,汉中路121号,20893元/㎡,235万
保利庭瑞阅江台滨江新品     3室2厅2卫 130m,3,2,2,130㎡,南,,,保利庭瑞阅江台·滨江新品,硚口,古田,琴台大道与玉龙路交汇处,20000元/㎡,260万
正南 3室2厅 精装修,3,2,2,128.81㎡,南,低层(共32层),2021年建造,御江壹品青山樽,青山,建设二路,建设二路,20884元/㎡,269万
金融港地铁口2号线附近花园洋房必看好房，三居随时看房诚意出售,3,2,2,114.02㎡,南,中层(共6层),2013年建造,当代卡梅尔小镇,江夏,藏龙岛,杨桥湖大道10号,12718元/㎡,145万
汉阳主城区，黄金口地铁站，总高六楼的小高层洋房，58团购折扣,3,2,2,118㎡,南,,,天创黄金时代,汉阳,黄金口,地铁4号线黄金口站B出口东行约500米,11017元/㎡,130万
新上 武汉天地优质笋房 多层 通透 不临街不临桥  随时看,3,2,2,133.94㎡,南北,高层(共9层),2010年建造,武汉天地御江苑,江岸,永清街,永安路6号,59729元/㎡,800万
两房送一房  温馨三房 产证满二 中高楼层 采光极好,3,2,1,84.81㎡,南北,高层(共18层),2011年建造,保利心语(三期),洪山,新南湖,野芷湖西路3号,16508元/㎡,140万
三环边主城区单价9XXX，正地铁口 国企开发 配套齐全,4,2,2,128㎡,南,,,天创黄金时代,汉阳,黄金口,地铁4号线黄金口站B出口东行约500米,10157元/㎡,130万
满五唯一 正南 2室2厅 精装修,2,2,1,86.81㎡,南,低层(共34层),2015年建造,保利中央公馆(G1-G16栋),洪山,新南湖,丁字桥南路558号,20159元/㎡,175万
金银湖湿地公园旁 毛坯一线湖景 满五   6号线地铁900米,3,2,2,117.37㎡,南北,高层(共32层),2019年建造,金湖听语,东西湖,金银湖,南一街2号,15507元/㎡,182万
国博新城 95110平三房出售小高层公摊17,3,2,2,95㎡,南北,,,城投融创国博城,汉阳,四新,四新南路与鄂渚路交汇处,16527元/㎡,157万
居家装修 湘龙鑫城精装三房 南北通透 家具家电全送 随时看房,3,2,2,129.45㎡,南北,低层(共24层),2012年建造,湘龙鑫城,洪山,白沙洲,白沙洲大道,9270元/㎡,120万
急售武广万松园老证东南朝向 中间楼层 户型方正 自住装修,3,2,1,115.71㎡,东南,高层(共28层),2003年建造,同成广场,江汉,新华路,建设大道538号,15989元/㎡,185万
万科翡翠滨江 二桥本区 有钥匙，产权清晰,3,2,2,118.31㎡,南北,高层(共57层),2020年建造,万科新世纪翡翠滨江(二期),汉阳,王家湾,琴台大道,19272元/㎡,228万
地铁口70年别墅  送地下室花园  金地品质 得房率高,4,2,3,137㎡,南北,,,金地国际城,汉阳,黄金口,黄金口地铁站A出口西行200米处,10949元/㎡,150万
正南 3室2厅 企业力荐好房诚意出售,3,2,2,117.05㎡,南,低层(共47层),2018年建造,东原启城(一期),洪山,白沙洲,烽胜路66号,14353元/㎡,168万
古田三路，地铁口，精装三室两厅，必看好房,3,2,2,114.8㎡,南,低层(共46层),2017年建造,千禧城,硚口,古田,南泥湾大道106号,17858元/㎡,205万
古田唯一自带幼儿园小学中学高端改善刚需精装现房,3,2,2,108㎡,南北,,,绿城华生桂语朝阳(新房),硚口,古田,园博大道与古田一路交汇处,16482元/㎡,178万
万科紫悦湾 精致南北通透小三房 次新房未入住 随时看房,3,2,1,93㎡,南,低层(共27层),2017年建造,万科紫悦湾,洪山,光谷东,严西湖路8号,16345元/㎡,152万
融科花满庭 89平 3室2厅 简单装修 房东急置换 诚意买房,3,2,1,89.62㎡,南北,低层(共11层),2017年建造,融科花满庭,洪山,白沙洲,白沙洲大道,12944元/㎡,116万
联投悦西湖湖景三大三房 格局创新 低公摊高使用,3,2,2,100㎡,南,,,联投悦西湖,洪山,光谷东,花山春和路白石美术馆旁50米,16700元/㎡,167万
泛悦城 141.44平 带精装三房，楼栋视野非常好,3,2,2,141.44㎡,南北,高层(共58层),2019年建造,泛悦城,洪山,关山,关山大道,27928元/㎡,395万
满二唯一 南北通透 4室2厅 精装修,4,2,2,106.2㎡,南北,高层(共32层),2009年建造,清江山水,洪山,光谷软件园,软件园中路10号,19304元/㎡,205万
光谷主城区  地铁口  准现房,3,2,2,117.74㎡,南北,,,伟鹏硅谷小镇一期,洪山,光谷东,未来三路和科技三路交汇处,13420元/㎡,158万
长青壹号  三房两卫 全新精装 双地铁口 诚心出售 随时看房,3,2,2,113.57㎡,南北,中层(共32层),2020年建造,长青壹号(南区),东西湖,常青花园,常青花园中路,18667元/㎡,212万
正南 3室2厅 精装修,3,2,2,140.1㎡,南,低层(共32层),2020年建造,光谷澎湃城奥山府,洪山,光谷东,佛祖岭东街2号,18416元/㎡,258万
左岭地铁口硅谷小镇先仅11500最后五套,3,2,2,107㎡,南北,,,伟鹏硅谷小镇一期,洪山,光谷东,未来三路和科技三路交汇处,13458元/㎡,144万
南北通透 3室2厅 企业力荐好房诚意出售,3,2,2,121.05㎡,南北,中层(共6层),2005年建造,金地格林小城美茵区,洪山,珞狮南路,书城路81号,20488元/㎡,248万
（急出）地铁口，保利上城东区，精装三房，中间楼层,3,2,1,95.19㎡,南北,低层(共34层),2018年建造,保利上城东区,洪山,白沙洲,烽胜路20号,16389元/㎡,156万
南北通透 电梯房 满五 保利华都 采光好 两房改三房 楼层好,2,2,1,91㎡,南北,高层(共34层),2008年建造,保利华都,洪山,卓刀泉,虎泉街299号,27253元/㎡,248万
总价110W 高层价格买别墅 送花园送地下室 送车位,2,2,2,123㎡,南北,,,中粮祥云地铁小镇(新房),蔡甸,蔡甸周边,蔡甸大街与西环路交汇处（地铁四号线新庙村站A出口）,12196元/㎡,150万
中冶39大街 3室2厅 满二唯一住房 南北通透 诚心出售 价,3,2,2,118.46㎡,南北,低层(共43层),2019年建造,中冶39大街,青山,建设二路,旅大街87号,21189元/㎡,251万
正南 3室2厅 企业力荐好房诚意出售,3,2,1,96.71㎡,南,低层(共56层),2020年建造,招商一江璟城(北区),青山,红钢城,建设六路5号,19130元/㎡,185万
汉阳  2环 一线临江 准现房 总价140万,2,2,1,82.29㎡,南,,,新港临江汇,汉阳,建港,晴川大道与芳洲路交汇处,17986元/㎡,148万
正南 3室2厅 企业力荐好房诚意出售,3,2,2,103.78㎡,南,低层(共34层),2010年建造,保利城(四期),洪山,铁机路,铁机路133号,21681元/㎡,225万
满二 山海观 精装三房两卫 南北通透双阳台 中间楼层 视野好,3,2,2,119.98㎡,南,中层(共34层),2020年建造,山海观,黄陂,盘龙城,机场高速,8835元/㎡,106万
汉阳琴台大道江景住宅 3室2厅2卫 102m 约199万,3,2,2,102㎡,南,,,新世界汉江·云赫,硚口,古田,知音大道588号,19510元/㎡,199万
正轻轨口次新小区，环境优雅出门及江滩，毛坯想象空间大，有钥匙,3,2,2,124.98㎡,南北,低层(共42层),2018年建造,汉江湾壹号(一期),硚口,古田,工农路108号,13443元/㎡,168万
（可芳草二桥）（稀缺大院子（还可扩）（精装20w，保养新）,3,2,2,137.73㎡,南,低层(共11层),2008年建造,南国明珠(二期),汉阳,王家湾,龙阳大道95号,17063元/㎡,235万
单价1万3起步主城区准现房,3,2,2,113㎡,南北,,,龙湖揽境,硚口,古田,长丰大道与古田二路交汇处,15045元/㎡,170万
满二唯一 正南 3室2厅 精装修,3,2,2,136.51㎡,南,低层(共21层),2014年建造,碧桂园生态城依云,洪山,光谷东,花山大道2号,11135元/㎡,152万
盛世江城前排，业主自住豪华装修 家具家电全送 价格可谈,2,2,1,87.48㎡,南,高层(共45层),2019年建造,中国水电盛世江城,江汉,杨汊湖,新湾路9号,23434元/㎡,205万
超大阳台 全房明亮 开发商直降 性价比高,3,2,2,120㎡,南北,,,龙湖揽境,硚口,古田,长丰大道与古田二路交汇处,15000元/㎡,180万
双轨交汇处，单价13500丹亭懿府，满二税少，周边商圈成熟,3,2,1,93.37㎡,南,低层(共34层),2020年建造,丹亭懿府,江岸,百步亭,百步亭路10号,14995元/㎡,140万
正南 3室2厅 精装修,3,2,2,97.28㎡,南,低层(共45层),2019年建造,保利新武昌,洪山,白沙洲,张家湾路8号,17270元/㎡,168万
正南 3室2厅 精装修,3,2,2,124.78㎡,南,中层(共50层),2022年建造,万科新都会,洪山,新南湖,岭南路,26367元/㎡,329万
东湖边 央企核心C位 天花板级别大盘   新房侨城欢乐天际,3,2,2,122㎡,南北,,,华侨城欢乐天际(新房),青山,余家头,团结大道地铁4号线工业四路站B出口（华侨城杉·艺术空间）,18443元/㎡,225万
地铁口 婚房装修 南北通透边户 满五唯一 税费少 ！,3,2,1,93㎡,南,低层(共40层),2016年建造,钰龙湾汇园,汉阳,七里庙,墨水湖北路229号,15054元/㎡,140万
正南 3室2厅 企业力荐好房诚意出售,3,2,2,114.1㎡,南,低层(共33层),2018年建造,东方雨林,江夏,庙山,阳光大道,10342元/㎡,118万
神盘大嫂送大哥马尔代夫的豪装楼下就是摩尔城看湖,3,2,2,125㎡,南,,,中国铁建花语汀澜,汉阳,王家湾,玉龙路与墨水湖北路交汇处,18480元/㎡,231万
正南 3室2厅 精装修,3,2,2,126.08㎡,南,高层(共34层),2019年建造,世茂云锦玉海园,洪山,白沙洲,白沙五路,14277元/㎡,180万
万科光澜道一期 高楼层 采光视野好 洪山广场旁 地铁口,3,2,1,91.19㎡,南北,高层(共30层),2016年建造,万科金色城市锦绣苑,洪山,白沙洲,白沙五路7号,14256元/㎡,130万
三环内王炸楼盘单价14000中字头央企开发,3,2,1,99㎡,南北,,,中国铁建·花语天著,江岸,百步亭,新区大道与游湖二路交汇处,14849元/㎡,147万
正南 2室2厅 精装修,2,2,1,85.02㎡,南,低层(共33层),2017年建造,天汇龙城龙锴苑,黄陂,盘龙城,盘龙城巨龙大道90号,8940元/㎡,76万
106平 南北通透 王家湾中央生活区 电梯房 满二 3室2厅,3,2,1,106.7㎡,南北,中层(共30层),2015年建造,王家湾中央生活区,汉阳,王家湾,汉阳大道,14996元/㎡,160万
下楼地铁口 绿道另外可以上于武昌区第一梯队,3,2,2,111㎡,南北,,,东湖ONE,洪山,欢乐谷,团结大道1068号（园林路E出口/金地广场对面）,21532元/㎡,239万
正南 2室2厅 精装修,2,2,1,85.3㎡,南,高层(共45层),2016年建造,福星华府(东区),江汉,杨汊湖,新湾路23号,17585元/㎡,150万
产证满五年，中间楼层，视野采光好，店长力荐精装小三房。,3,2,1,90.56㎡,南,中层(共34层),2015年建造,保利心语十期(北区),洪山,新南湖,野芷湖南路3号,17889元/㎡,162万
华发以国企实力，兑现有保障,3,2,2,101㎡,南,,,华发都荟天地,硚口,古田,古田二路轻轨站旁100米,19010元/㎡,192万
正南 3室2厅 企业力荐好房诚意出售,3,2,1,94.74㎡,南,低层(共45层),2015年建造,国际百纳,江岸,后湖,中一路36号,18789元/㎡,178万
保利上城 正地铁口 精装三房 产证满二 南北通透,3,2,1,84㎡,南北,低层(共34层),2018年建造,保利上城东区,洪山,白沙洲,烽胜路20号,15477元/㎡,130万
天地盛荟无任何后期费用！上长春街本校一线看江,2,2,1,96.56㎡,南,低层(共48层),2017年建造,武汉天地盛荟,江岸,二七路,永和路8号,60067元/㎡,580万
徐东内环刚需小两室 央企保利开发 年底交房,2,2,1,75㎡,南北,,,保利城七期云廷,洪山,铁机路,北洋桥西路与铁机东路交汇处,20000元/㎡,150万
地铁口300米 满五唯1  急售 房东配合 自住装修,3,2,1,84.78㎡,南,低层(共33层),2016年建造,平安光谷春天,江夏,金融港,高新六路15号,17457元/㎡,148万
新上捡漏电梯房 2008城市花园101平精装仅售105万老证,2,2,1,100.36㎡,南北,中层(共11层),2008年建造,2008城市花园,硚口,古田,长丰大道99号,10463元/㎡,105万
三室两厅两卫，全屋精装修，万科大牌,3,2,2,102㎡,南北,,,万科华生公园大道(新房),硚口,古田,园博大道(蓝光林肯公园西侧约100米),16569元/㎡,169万
古田二路 凯德广场 红星佳苑 通透三房 超值户型 随时看房,3,2,1,118.87㎡,南北,中层(共34层),2018年建造,红星佳苑,硚口,古田,古田路16号,12367元/㎡,147万
20W可以买 电梯房 满两年 旭辉御府 82平 房东急售,3,2,1,82㎡,南,低层(共29层),2017年建造,旭辉御府,江夏,东湖高新,高新四路,15244元/㎡,125万
招商未来中心 地铁口 国企开发 均价1.5 专业配盘 包接送,3,2,2,100㎡,南,,,招商·武汉城建未来中心,沌口开发区,体育中心,沌阳大道与体育路交汇处（协和医院西院对面）,17500元/㎡,175万
